Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
<10,1,5.01866,5.96,0.22528,0.00636,0.04165,0.78318,0.7049,0.64218
<10,2,5.73588,6.78,0.28683,0.01387,0.07496,1.04497,0.94267,0.86058
<10,3,6.23429,7.34,0.33215,0.02005,0.10416,1.2364,1.11871,1.02094
<10,4,6.625,7.8,0.37009,0.02497,0.13119,1.39467,1.26279,1.14955
<10,5,6.96,8.19,0.40301,0.0302,0.15595,1.53339,1.39167,1.2604
<10,6,7.242,8.53,0.43278,0.03602,0.1786,1.65976,1.50908,1.35657
<10,7,7.50427,8.83,0.4605,0.04211,0.1999,1.77412,1.61823,1.44631
<10,8,7.75,9.11,0.48666,0.04741,0.22035,1.88534,1.72242,1.52863
<10,9,7.97,9.38,0.5116,0.05242,0.23983,1.99095,1.82252,1.60598
<10,10,8.18115,9.63,0.53547,0.05784,0.25878,2.0952,1.91976,1.67838
<10,11,8.3826,9.88,0.55854,0.06323,0.27675,2.19597,2.01565,1.74749
<10,12,8.57143,10.11,0.58073,0.0688,0.2941,2.29469,2.10968,1.81292
<10,13,8.7575,10.33,0.60278,0.07456,0.31111,2.39226,2.20221,1.87717
<10,14,8.9375,10.55,0.62396,0.08046,0.32755,2.48927,2.29528,1.93941
<10,15,9.1111,10.76,0.64512,0.08633,0.34411,2.58755,2.3877,2.00117
<10,16,9.2825,10.96,0.66607,0.09225,0.36027,2.68485,2.48056,2.06007
<10,17,9.45,11.17,0.68699,0.09785,0.37622,2.78283,2.57443,2.11878
<10,18,9.61667,11.37,0.70795,0.10329,0.39209,2.88157,2.6685,2.17735
<10,19,9.77577,11.57,0.7285,0.10881,0.4076,2.98115,2.76308,2.23478
<10,20,9.93375,11.76,0.74894,0.11419,0.42277,3.08064,2.8593,2.29049
<10,21,10.09143,11.96,0.76953,0.11924,0.4379,3.18354,2.95501,2.3467
<10,22,10.24495,12.15,0.79002,0.12406,0.453,3.28741,3.05469,2.4017
<10,23,10.3975,12.34,0.8108,0.12873,0.46804,3.39408,3.15724,2.45588
<10,24,10.54875,12.53,0.8318,0.13332,0.48304,3.50234,3.26119,2.51089
<10,25,10.695,12.71,0.85297,0.13782,0.49824,3.61493,3.36698,2.56553
<10,26,10.84143,12.9,0.8738,0.14245,0.51324,3.72919,3.47566,2.62096
<10,27,10.9875,13.09,0.8952,0.14718,0.52775,3.84439,3.58828,2.67569
<10,28,11.136,13.27,0.91667,0.15196,0.54264,3.96397,3.70332,2.73042
<10,29,11.28167,13.46,0.93882,0.15671,0.55767,4.08726,3.82094,2.7866
<10,30,11.42625,13.65,0.96084,0.16128,0.57275,4.2138,3.94225,2.84144
<10,31,11.57143,13.84,0.98266,0.16603,0.58771,4.34376,4.06914,2.89725
<10,32,11.71769,14.02,1.00468,0.17058,0.60336,4.47689,4.19917,2.95221
<10,33,11.86417,14.2,1.02749,0.1751,0.61853,4.61339,4.33177,3.00917
<10,34,12.01,14.39,1.05077,0.17948,0.6343,4.75597,4.46959,3.06565
<10,35,12.15667,14.58,1.07463,0.18382,0.65087,4.90475,4.61314,3.12245
<10,36,12.30286,14.77,1.09872,0.18788,0.66732,5.05421,4.76107,3.17962
<10,37,12.45,14.96,1.12304,0.19187,0.68372,5.21078,4.91591,3.23732
<10,38,12.6,15.14,1.14826,0.1957,0.70022,5.37204,5.07224,3.29704
<10,39,12.75,15.34,1.17394,0.1992,0.7174,5.53798,5.2333,3.35545
<10,40,12.89857,15.53,1.20035,0.20265,0.73436,5.70844,5.4007,3.4171
<10,41,13.04972,15.73,1.22704,0.20597,0.75169,5.88563,5.57715,3.47922
<10,42,13.20111,15.92,1.25426,0.20898,0.76955,6.0654,5.75703,3.543
<10,43,13.35429,16.13,1.28235,0.21199,0.78744,6.25349,5.9425,3.60612
<10,44,13.50667,16.33,1.31151,0.21508,0.80588,6.44623,6.13472,3.67111
